isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,sector
INE675C01017,534758,CIGNITITEC,,CIGNITITEC,,Cigniti Technologies,,CIGNITITEC,
INE676A01027,500463,BBOX,,BBOX,,Black Box,,BBOX,
INE676G01024,521244,MKPMOB,,,,MKP Mobility,,MKPMOB,
INE677D01037,511768,MASTERTR,,MASTERTR,,Master Trust,,MASTERTR,
INE678B01021,519463,IBINFO,,,,IB Infotech Enterprises,,IBINFO,
INE678F01014,526169,MULTIBASE,,,,Multibase,,MULTIBASE,
INE679A01013,542867,CSBBANK,,CSBBANK,,CSB Bank,,CSBBANK,
INE679C01027,531398,SOURCENTRL,,,,Source Natural Foods,,SOURCENTRL,
INE679E01015,539546,AGRIBIO,,,,Agribio Spirits,,AGRIBIO,
INE679T01013,511018,ZMILGFIN,,,,Milgrey Finance & Investments,,ZMILGFIN,
INE679V01027,540205,AVL,,AVL,,Aditya Vision,,AVL,
INE680A01011,532180,DHANBANK,,DHANBANK,,Dhanlaxmi Bank,,DHANBANK,
INE680B01019,500206,MARGOFIN,,,,Margo Finance,,MARGOFIN,
INE680Z01018,543910,AVG,,AVG,,AVG Logistics,,AVG,
INE681B01017,532150,INDRAMEDCO,,INDRAMEDCO,,Indraprastha Medical Corporation,,INDRAMEDCO,
INE681C01015,512597,KEYFINSERV,,KEYFINSERV,,Keynote Financial Services,,KEYFINSERV,
INE681D01039,531512,ORIENTTR,,,,Orient Tradelink,,ORIENTTR,
INE681F01018,524080,HARLETH,,,,Haryana Leather Chemicals,,HARLETH,
INE681K01026,531537,MIZVEN,,,,Mizzen Ventures,,MIZVEN,
INE681Q01015,539596,DELTA,,,,Delta Industrial Res,,DELTA,
INE682B01023,539149,ICSL,,,,Integrated Capital Services,,ICSL,
INE682D01011,522207,RASANDIK,,,,Rasandik Engineering Industries,,RASANDIK,
INE682M01012,543980,JLHL,,JLHL,,Jupiter Life Line Hospital,,JLHL,
INE683A01023,532218,SOUTHBANK,,SOUTHBANK,,South Indian Bank,,SOUTHBANK,
INE683B01047,532379,FIRSTFIN,,,,First Fintec,,FIRSTFIN,
INE683C01011,590078,MAITHANALL,,MAITHANALL,,Maithan Alloys,,MAITHANALL,
INE683E01017,524506,CORALAB,,,,Coral Laboratories,,CORALAB,
INE684B01029,508807,ISTLTD,,,,IST,,ISTLTD,
INE684D01025,539669,RGF,,,,RGF Capital Markets,,RGF,
INE684F01012,532809,FSL,,FSL,,Firstsource Solutions,,FSL,
INE684U01011,506945,IGLFXPL-B,,,,Indo Gulf Industries,,IGLFXPL-B,
INE685A01028,500420,TORNTPHARM,,TORNTPHARM,,Torrent Pharmaceuticals,,TORNTPHARM,
INE685D01022,512175,VAMA,,,,Vama Industries,,VAMA,
INE685Z01033,541601,RAJNISH,,,,Rajnish Wellness,,RAJNISH,
INE686A01026,509496,CEMPRO,,CEMPRO,,Cemindia Projects,,CEMPRO,
INE686C01014,524580,PRIYALT,,,,Priya,,PRIYALT,
INE686F01025,532478,UBL,,UBL,,United Breweries,,UBL,
INE686Y01026,541557,FINEORG,,FINEORG,,Fine Organic Industries,,FINEORG,
INE687A01016,506687,TRANSPEK,,,,Transpek Industry,,TRANSPEK,
INE687C01012,531888,REXNORD,,,,Rexnord Electronics & Controls,,REXNORD,
INE687W01010,519064,ZKHANDEN,,,,Khandelwal Extractions,,ZKHANDEN,
INE688A01022,532349,TCI,,TCI,,Transport Corporation of India,,TCI,
INE688D01026,505509,RESPONIND,,RESPONIND,,Responsive Industries,,RESPONIND,
INE688E01024,505720,HERCULES,,HERCULES,,Hercules Hoists,,HERCULES,
INE688J01023,533090,EXCEL,,EXCEL,,Excel Realty N Infra,,EXCEL,
INE688Y01022,209079,DANGEE,,DANGEE,,Dangee Dums,,DANGEE,
INE689E01014,521068,HISARSP,,,,Hisar Spinning Mills,,HISARSP,
INE689J01013,530065,LORDSHOTL,,,,Lords Ishwar Hotels,,LORDSHOTL,
INE689M01025,540717,PQIF,,,,Polo Queen Industrial And Fintech,,PQIF,
INE689O01013,538942,MERCANTILE,,,,Mercantile Ventures,,MERCANTILE,
INE689V01018,517360,SBECSYS,,,,SBEC Systems,,SBECSYS,
INE689W01016,542907,PRINCEPIPE,,PRINCEPIPE,,Prince Pipes & Fittings,,PRINCEPIPE,
INE690A01028,517506,TTKPRESTIG,,TTKPRESTIG,,TTK Prestige,,TTKPRESTIG,
INE690D01014,530231,SUBSM,,,,Subhash Silk Mills,,SUBSM,
INE690J01011,533315,INOVSYNTH,,,,Innovassynth Investments,,INOVSYNTH,
INE690O01011,536493,JKAGRI,,,,JK Agri Genetics,,JKAGRI,
INE691A01018,532505,UCOBANK,,UCOBANK,,UCO Bank,,UCOBANK,
INE691C01022,530585,SWASTIKA,,,,Swastika Investmart,,SWASTIKA,
INE691D01012,521113,SUDTIND-B,,,,Suditi Industries,,SUDTIND-B,
INE691G01015,532614,IMPEXFERRO,,IMPEXFERRO,,Impex Ferro Tech,,IMPEXFERRO,
INE691J01019,538652,HCLTD,,,,Hind Commerce,,HCLTD,
INE691K01017,501430,BOMBCYC,,,,Bombay Cycle & Motor Agency,,BOMBCYC,
INE691Z01023,208199,GANGAFORGE,,GANGAFORGE,,Ganga Forging,,GANGAFORGE,
INE692A01016,532477,UNIONBANK,,UNIONBANK,,Union Bank of India,,UNIONBANK,
INE692B01014,515037,MURUDCERA,,MURUDCERA,,Murudeshwar Ceramics,,MURUDCERA,
INE692C01020,522229,TANAA,,,,Taneja Aerospace & Aviation,,TANAA,
INE692G01013,532616,XCHANGING,,XCHANGING,,Xchanging Solutions,,XCHANGING,
INE692Z01013,541402,AFFORDABLE,,AFFORDABLE,,Affordable Robotic & Automation,,AFFORDABLE,
INE693D01018,519152,VADILENT,,,,Vadilal Enterprises,,VADILENT,
INE693E01016,506520,JAYCH,,,,Jayshree Chemicals,,JAYCH,
INE694A01020,507878,UNITECH,,UNITECH,,Unitech Group,,UNITECH,
INE694D01016,519156,VADILALIND,,VADILALIND,,Vadilal Industries,,VADILALIND,
INE694E01014,507779,KANPRPLA,,KANPRPLA,,Kanpur Plastipack,,KANPRPLA,
INE694N01015,543266,HERANBA,,HERANBA,,Heranba Industries,,HERANBA,
INE694W01024,541702,ASHNI,,,,Ashnisha Industries,,ASHNI,
INE694X01030,540614,GGENG,,,,G G Engineering,,GGENG,
INE695B01025,531624,COUNCODOS,,COUNCODOS,,Country Condos,,COUNCODOS,
INE695D01021,501370,WALCHPF,,,,Walchand Peoplefirst,,WALCHPF,
INE695X01011,540729,VANTABIO,,,,Vanta Bioscience,,VANTABIO,
INE696F01016,544129,JUNIPER,,JUNIPER,,Juniper Hotels,,JUNIPER,
INE696K01024,533239,PRAKASHSTL,,PRAKASHSTL,,Prakash Steelage,,PRAKASHSTL,
INE696V01013,203667,JAIPURKURT,,JAIPURKURT,,Nandani Creation,,JAIPURKURT,
INE697C01011,511507,USHAKIRA,,,,Ushakiran Finance,,USHAKIRA,
INE697V01011,201657,PANSARI,,PANSARI,,Pansari Developers,,PANSARI,
INE698B01011,531280,PANKAJPO,,,,Pankaj Polymers,,PANKAJPO,
INE699B01027,511630,SAMBHAAV,,SAMBHAAV,,Sambhaav Media,,SAMBHAAV,
INE699D01015,516078,JUMBO,,,,Jumbo Bag,,JUMBO,
INE699H01024,543458,AWL,,AWL,,AWL Agri Business,,AWL,
INE700A01033,530019,JUBLPHARMA,,JUBLPHARMA,,Jubilant Pharmova,,JUBLPHARMA,
INE700F01024,539991,CFEL,,,,Confidence Futuristic Energetech,,CFEL,
INE700V01021,540147,SHASHIJIT,,,,Shashijit Infraprojects,,SHASHIJIT,
INE701A01023,500439,VHL,,VHL,,Vardhman Holdings,,VHL,
INE701G01012,530499,AKCAPIT,,,,AK Capital Services,,AKCAPIT,
INE702C01027,533758,APLAPOLLO,,APLAPOLLO,,APL Apollo Tubes,,APLAPOLLO,
INE702E01015,524210,PNTKYOR,,,,Pentokey Organy,,PNTKYOR,
INE702H01018,532825,JAGJANANI,,,,Jagjanani Textiles,,JAGJANANI,
INE702Y01013,200223,SMVD,,SMVD,,SMVD Poly Pack,,SMVD,
INE703B01027,520111,RATNAMANI,,RATNAMANI,,Ratnamani Metals & Tubes,,RATNAMANI,
INE703D01023,531752,BIOGEN,,,,Biogen Pharmachem,,BIOGEN,
INE703H01016,532799,HUBTOWN,,HUBTOWN,,Hubtown,,HUBTOWN,
INE704B01017,520073,RACLGEAR,,RACLGEAR,,RACL Geartech,,RACLGEAR,
INE704F01018,524046,PETPLST,,,,Pet Plastics,,PETPLST,
INE704G01024,507944,BAJAJST,,,,Bajaj Steel Industries,,BAJAJST,
INE704H01022,532807,CINELINE,,CINELINE,,Cineline,,CINELINE,
INE704P01025,540678,COCHINSHIP,,COCHINSHIP,,Cochin Shipyard,,COCHINSHIP,
INE704V01015,200454,DRL$,,DRL,,Dhanuka Realty,,DRL$,
INE705C01020,511108,SHIVATEX,,SHIVATEX,,Shiva Texyarn,,SHIVATEX,
INE705G01021,505712,HIMTEK,,,,Him Teknoforge,,HIMTEK,
INE705X01026,541152,GOYALALUM,,GOYALALUM,,Goyal Aluminiums,,GOYALALUM,
INE706A01022,519307,VIKASWSP,,,,Vikas WSP,,VIKASWSP,
INE706B01012,520075,SAMKRG,,,,Samkrg Pistons & Rings,,SAMKRG,
INE706C01028,531994,AUTOPINS,,,,Auto Pins,,AUTOPINS,
INE706D01018,502893,UNITEDINT,,,,United Interactive,,UNITEDINT,
INE706F01021,511447,SYLPH,,,,Sylph Technologies,,SYLPH,
INE706N01017,507917,EASTBUILD,,,,East Buildtech,,EASTBUILD,
INE707A01012,517015,VINDHYATEL,,VINDHYATEL,,Vindhya Telelinks,,VINDHYATEL,
INE707B01010,514264,SEASONST,,,,Seasons Textiles,,SEASONST,
INE707C01018,511505,CAPTRUST,,CAPTRUST,,Capital Trust,,CAPTRUST,
INE709A01018,511333,VLSFINANCE,,VLSFINANCE,,VLS Finance,,VLSFINANCE,
INE709B01016,531169,SKPSEC,,,,SKP Securities,,SKPSEC,
INE709D01012,519174,ASHAI,,,,Ashiana Agro Industries,,ASHAI,
INE709Z01015,202708,VERA,,VERA,,Vera Synthetic,,VERA,
INE710A01016,509966,VSTIND,,VSTIND,,VST Industries,,VSTIND,
INE710D01028,523019,BNRSEC,,,,BN Rathi Securities,,BNRSEC,
INE711A01022,507410,WALCHANNAG,,WALCHANNAG,,Walchandnagar Industries,,WALCHANNAG,
INE711C01028,500220,JASCH,,,,Jasch Industries,,JASCH,
INE711D01018,524516,BACPHAR,,,,Bacil Pharma,,BACPHAR,
INE711V01010,540405,OCEANIC,,,,Oceanic Foods,,OCEANIC,
INE712A01012,508494,WARRENTEA,,,,Warren Tea,,WARRENTEA,
INE712B01010,523283,SUPERHOUSE,,SUPERHOUSE,,Superhouse,,SUPERHOUSE,
INE712K01011,539334,SHREEPUSHK,,SHREEPUSHK,,Shree Pushkar Chemicals,,SHREEPUSHK,
INE712Z01019,509845,RJSHAH,,,,RJ Shah & Company,,RJSHAH,
INE713B01026,521200,SURYALAXMI,,SURYALAXMI,,Suryalakshmi Cotton Mills,,SURYALAXMI,
INE713C01016,531638,SURAJLTD,,SURAJLTD,,Suraj,,SURAJLTD,
INE713D01055,522292,CANDOUR,,,,Candour Techtex,,CANDOUR,
INE713N01013,504346,RRP,,,,RRP Semiconductor,,RRP,
INE713T01028,540879,APOLLO,,APOLLO,,Apollo Micro Systems,,APOLLO,
INE714B01016,500012,ANDHRAPET,,,,Andhra Petrochemicals,,ANDHRAPET,
INE714D01020,522231,CONART,,,,Conart Engineers,,CONART,
INE714Q01014,539335,CHPLIND,,,,CHPL Industries,,CHPLIND,
INE714U01024,540377,IFL,,,,IFL Enterprises,,IFL,
INE715A01015,590073,WHEELS,,WHEELS,,Wheels,,WHEELS,
INE715B01021,590062,ANDHRSUGAR,,ANDHRSUGAR,,Andhra Sugars,,ANDHRSUGAR,
INE715D01019,530755,CORNE,,,,Coral Newsprints,,CORNE,
INE715Q01029,540360,LLFICL,,,,Leading Leasing Finance,,LLFICL,
INE715T01031,540080,DHATRE,,,,Dhatre Udyog,,DHATRE,
INE715Y01031,212256,SHRADHA,,SHRADHA,,Shradha Infraprojects,,SHRADHA,
INE716A01013,500238,WHIRLPOOL,,WHIRLPOOL,,Whirlpool,,WHIRLPOOL,
INE716B01029,532375,TIPSMUSIC,,TIPSMUSIC,,Tips Music,,TIPSMUSIC,
INE716D01033,512379,CRSL,,,,Cressanda Railway Solutions,,CRSL,
INE716F01012,504092,INDOKEM,,,,Indokem,,INDOKEM,
INE716K01020,526532,SFPIL,,,,Square Four Projects,,SFPIL,
INE716M01034,506863,SWADEIN,,,,Swadeshi Industries,,SWADEIN,
INE717A01029,505890,KENNAMET,,,,Kennametal,,KENNAMET,
INE717C01025,537800,MANGIND,,,,Mangalam Industrial Finance,,MANGIND,
INE717D01023,511710,CUBIFIN,,,,Cubical Financial Service,,CUBIFIN,
INE717E01013,538987,TALBROSENG,,,,Talbros Engineering,,TALBROSENG,
INE717F01028,540570,VARIMAN,,,,Variman Global Enterprise,,VARIMAN,
INE717W01049,544029,GANDHAR,,GANDHAR,,Gandhar Oil Refinery,,GANDHAR,
INE718B01017,532402,USGTECH,,,,USG Tech Solutions,,USGTECH,
INE718F01018,530067,CSLFINANCE,,CSLFINANCE,,CSL Finance,,CSLFINANCE,
INE718H01014,532797,AUTOIND,,AUTOIND,,Autoline Industries,,AUTOIND,
INE718I01012,544480,JSWCEMENT,,JSWCEMENT,,JSW Cement,,JSWCEMENT,
INE718M01022,505302,LAKSHMIEW,,,,Lakshmi Engineering & Warehousing,,LAKSHMIEW,
INE718P01017,538564,JAMESWARREN,,,,James Warren Tea,,JAMESWARREN,
INE719F01016,206521,SHIVAUM,,SHIVAUM,,Shiv Aum Steels,,SHIVAUM,
INE720A01015,203356,KOTHARIPET,,KOTHARIPET,,Kothari Petrochemicals,,KOTHARIPET,
INE721A01047,511218,SHRIRAMFIN,,SHRIRAMFIN,,Shriram Finance,,SHRIRAMFIN,
INE721C01019,539492,GARBIFIN,,,,Garbi Finvest,,GARBIFIN,
INE721D01017,530469,GSLSEC,,,,Gsl Securities,,GSLSEC,
INE721U01011,505520,ZHEMHOLD,,,,Pushpsons Industries,,ZHEMHOLD,
