isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector,change,oldisin,oldsecurityid,oldsymbol
INE0V0L01028,544453,MSECL,,,,Monarch Surveyors & Engg. Consultants,,MSECL,,,new,,,
INE0V3U01015,544424,GLOBECIVIL,,GLOBECIVIL,,Globe Civil Projects,,GLOBECIVIL,,,new,,,
INE0V8A01016,544511,KARBON,,,,Karbonsteel Engineering,,KARBON,,,new,,,
INE0V9Q01010,544469,LOTUSDEV,,LOTUSDEV,,Sri Lotus Developers & Realty,,LOTUSDEV,,,new,,,
INE0VBS01016,213805,ECOLINE,,ECOLINE,,Ecoline Exim,,ECOLINE,,,new,,,
INE0VCK01011,213615,FLYSBS,,FLYSBS,,FlySBS Aviation,,FLYSBS,,,new,,,
INE0VG001016,213646,AMCL,,AMCL,,ANB Metal Cast,,AMCL,,,new,,,
INE0VJT01017,213487,PROFX,,PROFX,,Pro FX Tech,,PROFX,,,new,,,
INE0VOV01021,544513,DEVX,,DEVX,,Dev Accelerator,,DEVX,,,new,,,
INE0VTV01012,213679,ANONDITA,,ANONDITA,,Anondita Medicare,,ANONDITA,,,new,,,
INE0VWL01017,544442,CHEMKART,,,,Chemkart,,CHEMKART,,,new,,,
INE0VZX01015,213612,RNPL,,RNPL,,Renol Polychem,,RNPL,,,new,,,
INE0W1601012,544435,ADCOUNTY,,,,Adcounty Media,,ADCOUNTY,,,new,,,
INE0W4K01013,544474,BLT,,,,BLT Logistics,,BLT,,,new,,,
INE0W5Q01017,544542,JUSTO,,,,Justo Realfintech,,JUSTO,,,new,,,
INE0WL201014,213611,CUDML,,CUDML,,Cash Ur Drive Marketing,,CUDML,,,new,,,
INE0WL901019,215181,VIJAYPD,,VIJAYPD,,Vijaypd Ceutical,,VIJAYPD,,,new,,,
INE0WRP01016,544508,VASHISHTHA,,,,Vashishtha Luxury Fashion,,VASHISHTHA,,,new,,,
INE0XAD01024,544587,MIDWESTLTD,,MIDWESTLTD,,Midwest,,MIDWESTLTD,,,new,,,
INE0XBS01012,544516,AIRFLOA,,,,Airfloa Rail Technology,,AIRFLOA,,,new,,,
INE0XM301010,213486,MMEL,,MMEL,,Moving Media Entertainment,,MMEL,,,new,,,
INE0XRR01010,544425,AJCJEWEL,,,,AJC Jewel Manufacturers,,AJCJEWEL,,,new,,,
INE0XWS01018,213752,TAURIAN,,TAURIAN,,Taurian MPS,,TAURIAN,,,new,,,
INE0XX801016,544501,SUGSLLOYD,,,,Sugs Lloyd,,SUGSLLOYD,,,new,,,
INE0XZB01017,544509,KRUPALU,,,,Krupalu Metals,,KRUPALU,,,new,,,
INE0Y0E01012,544426,ICON,,,,Icon Facilitators,,ICON,,,new,,,
INE0Y5H01014,213778,TECHD,,TECHD,,TechD Cybersecurity,,TECHD,,,new,,,
INE0Y8W01017,544497,AHCL,,AHCL,,Anlon Healthcare,,AHCL,,,new,,,
INE0YD401026,544537,JAINREC,,JAINREC,,Jain Resource Recycling,,JAINREC,,,new,,,
INE0YDV01010,213677,ARCIIL,,ARCIIL,,ARC Insulation & Insulators,,ARCIIL,,,new,,,
INE0YG001013,544482,STARIMAGIN,,,,Star Imaging And Path Lab,,STARIMAGIN,,,new,,,
INE0YJV01017,215184,SHEEL,,SHEEL,,Sheel Biotech,,SHEEL,,,new,,,
INE0Z4F01028,544527,ATLANTAELE,,ATLANTAELE,,Atlanta Electricals,,ATLANTAELE,,,new,,,
INE0ZDY01011,544422,ABRFL,,,,Abram Food,,ABRFL,,,new,,,
INE0ZN101029,544503,RACHIT,,,,Rachit Prints,,RACHIT,,,new,,,
INE0ZOM01013,544504,GOELCONS,,,,Goel Construction Company,,GOELCONS,,,new,,,
INE0ZRC01017,213637,BHADORA,,BHADORA,,Bhadora Industries,,BHADORA,,,new,,,
INE0ZTO01018,213455,MAYASHEEL,,MAYASHEEL,,Mayasheel Ventures,,MAYASHEEL,,,new,,,
INE103V01028,544443,TRAVELFOOD,,TRAVELFOOD,,Travel Food Services,,TRAVELFOOD,,,new,,,
INE104201012,544505,AUSTERE,,,,Austere Systems,,AUSTERE,,,new,,,
INE104F01029,539122,BODHTREE,,,,Bodhtree Consulting,,BODHTREE,,,new,,,
INE10CM01027,544566,SUNSKY,,,,Sunsky Logistics,,SUNSKY,,,new,,,
INE10VS01016,213642,SAWALIYA,,SAWALIYA,,Sawaliya Food Products,,SAWALIYA,,,new,,,
INE10XS01012,544520,SAMPAT,,,,Sampat Aluminium,,SAMPAT,,,new,,,
INE111601014,544483,ICODEX,,,,Icodex Publishing Solutions,,ICODEX,,,new,,,
INE114D01015,514414,OXFORDIN,,,,Oxford Industries,,OXFORDIN,,,new,,,
INE11J101017,213506,CEDAAR,,CEDAAR,,Cedaar Textile,,CEDAAR,,,new,,,
INE124401014,213636,AARADHYA,,AARADHYA,,AARADHYA DISPOSAL INDUS L,,AARADHYA,,,new,,,
INE12NJ01018,544430,SAMBHV,,SAMBHV,,Sambhv Steel Tubes,,SAMBHV,,,new,,,
INE12P101018,544561,CHIRAHARIT,,,,Chiraharit,,CHIRAHARIT,,,new,,,
INE12P601017,544494,GLOBTIER,,,,Globtier Infotech,,GLOBTIER,,,new,,,
INE130701019,544433,VALINDIA,,,,Valencia,,VALINDIA,,,new,,,
INE132901013,213806,MGSL,,MGSL,,Matrix Geo Solutions,,MGSL,,,new,,,
INE132E01015,531989,DECPO,,,,Deccan Polypacks,,DECPO,,,new,,,
INE13B501022,544526,SAATVIKGL,,SAATVIKGL,,Saatvik Green Energy,,SAATVIKGL,,,new,,,
INE13YH01017,544584,SKM,,,,SK Minerals & Additives,,SKM,,,new,,,
INE13ZD01013,213602,KAYTEX,,KAYTEX,,Kaytex Fabrics,,KAYTEX,,,new,,,
INE14DW01018,213705,SATTVAENGG,,SATTVAENGG,,Sattva Engineering Construction,,SATTVAENGG,,,new,,,
INE14GK01016,213528,SMARTEN,,SMARTEN,,Smarten Power Systems,,SMARTEN,,,new,,,
INE14OX01013,544471,TAKYON,,,,Takyon Networks,,TAKYON,,,new,,,
INE14QA01016,544555,AMEENJI,,,,Ameenji Rubber,,AMEENJI,,,new,,,
INE14VP01014,544524,JDCABLES,,,,JD Cables,,JDCABLES,,,new,,,
INE14W901010,213481,RTL,,RTL,,Rama Telecom,,RTL,,,new,,,
INE154801018,213507,PUSHPA,,PUSHPA,,Pushpa Jewellers,,PUSHPA,,,new,,,
INE15B101011,213732,OPTIVALUE,,OPTIVALUE,,Optivalue Tek Consulting,,OPTIVALUE,,,new,,,
INE15MX01014,544500,ABRIL,,,,Abril Paper Tech,,ABRIL,,,new,,,
INE15WN01014,544463,REPONO,,,,Repono,,REPONO,,,new,,,
INE15XJ01010,544529,APPL,,,,Aptus Pharma,,APPL,,,new,,,
INE160L01011,535620,BINNYMILLS,,,,Binny Mills,,BINNYMILLS,,,new,,,
INE161701011,544460,PATELCHEM,,,,Patel Chem Specialities,,PATELCHEM,,,new,,,
INE161G01027,532621,MORARJEE,,MORARJEE,,Morarjee Textiles,,MORARJEE,,,new,,,
INE162901016,544441,METAINFO,,,,Meta Infotech,,METAINFO,,,new,,,
INE163701019,544554,KVSCASTING,,,,KVS Castings,,KVSCASTING,,,new,,,
INE16VK01010,213576,TSC,,TSC,,TSC,,TSC,,,new,,,
INE16XA01017,544567,INFINITY,,,,Infinity Infoway,,INFINITY,,,new,,,
INE173E01019,531628,TEJASSVI,,,,Tejassvi Aaharam,,TEJASSVI,,,new,,,
INE17CQ01015,215182,BAGDIGITAL,,BAGDIGITAL,,BAG Convergence,,BAGDIGITAL,,,new,,,
INE17D601016,213456,SAFEENTP,,SAFEENTP,,Safe Enterprises Retail Fixtures,,SAFEENTP,,,new,,,
INE17VO01028,213670,STUDIOLSD,,STUDIOLSD,,Studio LSD,,STUDIOLSD,,,new,,,
INE188Y01031,211747,VERTOZ,,VERTOZ,,Vertoz,,VERTOZ,,,new,,,
INE18JU01028,544455,EBGNG,,EBGNG,,GNG Electronics,,EBGNG,,,new,,,
INE18PB01017,544551,BHAVIK,,,,Bhavik Enterprises,,BHAVIK,,,new,,,
INE191201016,544489,LGT,,,,LGT Business Connextions,,LGT,,,new,,,
INE191I01012,532873,HDIL,,HDIL,,Housing Development and Infra,,HDIL,,,new,,,
INE198501012,544519,EUROPRATIK,,EUROPRATIK,,Euro Pratik Sales,,EUROPRATIK,,,new,,,
INE19QH01010,213552,SPUNWEB,,SPUNWEB,,Spunweb Nonwoven,,SPUNWEB,,,new,,,
INE1A8F01035,544549,EARKART,,,,Earkart,,EARKART,,,new,,,
INE1AE401014,215267,JAYESH,,JAYESH,,Jayesh Logistics,,JAYESH,,,new,,,
INE1AG301022,544525,GKENERGY,,GKENERGY,,GK Energy,,GKENERGY,,,new,,,
INE1B0W01010,544562,ADVANCE,,ADVANCE,,Advance Agrolife,,ADVANCE,,,new,,,
INE1B3501014,544563,ZELIO,,,,Zelio E-Mobility,,ZELIO,,,new,,,
INE1B3L01017,544512,SHRINGARMS,,SHRINGARMS,,Shringar House of Mangalsutra,,SHRINGARMS,,,new,,,
INE1B4801017,544546,CHTR,,,,Chatterbox Technologies,,CHTR,,,new,,,
INE1B6101010,544490,SHREEJISPG,,SHREEJISPG,,Shreeji Shipping Global,,SHREEJISPG,,,new,,,
INE1BZC01019,544564,OMFREIGHT,,OMFREIGHT,,Om Freight Forwarders,,OMFREIGHT,,,new,,,
INE1CCX01012,215150,GURUNANAK,,GURUNANAK,,Gurunanak Agriculture,,GURUNANAK,,,new,,,
INE1CRQ01014,213704,CURRENT,,CURRENT,,Current Infraprojects,,CURRENT,,,new,,,
INE1DLF01018,213681,SHIVASHRIT,,SHIVASHRIT,,Shivashrit Foods,,SHIVASHRIT,,,new,,,
INE1DM601016,213737,VIGOR,,VIGOR,,Vigor Plast,,VIGOR,,,new,,,
INE1DRH01011,544514,CITYSQUARE,,,,Jay Ambe Supermarkets,,CITYSQUARE,,,new,,,
INE1EUB01016,544582,SHLOKKA,,,,Shlokka Dyes,,SHLOKKA,,,new,,,
INE1FF001016,544547,JKIPL,,JKIPL,,Jinkushal Industries,,JKIPL,,,new,,,
INE1GUJ01014,544594,TRADEUNO,,,,Game Changers Texfab,,TRADEUNO,,,new,,,
INE1GYP01013,213454,AAKAAR,,AAKAAR,,Aakaar Medical Technologies,,AAKAAR,,,new,,,
INE1H7V01011,213639,PARTH,,PARTH,,Parth Electricals & Engineering,,PARTH,,,new,,,
INE1IBY01019,544475,ESSEX,,,,Essex Marine,,ESSEX,,,new,,,
INE1IIQ01028,544539,SOLVEX,,,,Solvex Edibles,,SOLVEX,,,new,,,
